Urls,Titulos,Precio
https://es.wallapop.com/item/alfanova-2-886372263,alfanova-2,60 EUR
https://es.wallapop.com/item/se-venden-periquitos-886321167,se-venden-periquitos,1 EUR
https://es.wallapop.com/item/bicicleta-886292644,bicicleta,50 EUR
https://es.wallapop.com/item/robot-de-cocina-887180392,robot-de-cocina,30.0
https://es.wallapop.com/item/moviliario-tienda-887500247,moviliario-tienda,3000.0
https://es.wallapop.com/item/lote-de-hilos-de-seda-de-morera-100-autentica-887506322,lote-de-hilos-de-seda-de-morera-100-autentica,14.0
https://es.wallapop.com/item/camilla-887502023,camilla,60.0
https://es.wallapop.com/item/despiece-fiat-grande-punto-887508863,despiece-fiat-grande-punto,11.0
https://es.wallapop.com/item/termomix-t6-887241946,termomix-t6,900.0
https://es.wallapop.com/item/bicicleta-specialized-tarmac-carbono-talla-56-reacondicionada-887226152,bicicleta-specialized-tarmac-carbono-talla-56-reacondicionada,1099.0
